0,0.379961
0.031746,0.379892
0.0634921,0.379754
0.0952381,0.379547
0.126984,0.379272
0.15873,0.378927
0.190476,0.378514
0.222222,0.378032
0.253968,0.377480
0.285714,0.376860
0.31746,0.376170
0.349206,0.375411
0.380952,0.374583
0.412698,0.373686
0.444444,0.372719
0.47619,0.371682
0.507937,0.370577
0.539683,0.369401
0.571429,0.368156
0.603175,0.366841
0.634921,0.365556
0.666667,0.364303
0.698413,0.363080
0.730159,0.361887
0.761905,0.360725
0.793651,0.359593
0.825397,0.358491
0.857143,0.357420
0.888889,0.356378
0.920635,0.355367
0.952381,0.354385
0.984127,0.353433
1.01587,0.352511
1.04762,0.351618
1.07937,0.350755
1.11111,0.349921
1.14286,0.349117
1.1746,0.348342
1.20635,0.347596
1.2381,0.346879
1.26984,0.346192
1.30159,0.345534
1.33333,0.344904
1.36508,0.344304
1.39683,0.343733
1.42857,0.343190
1.46032,0.342676
1.49206,0.342191
1.52381,0.341735
1.55556,0.341307
1.5873,0.340909
1.61905,0.340538
1.65079,0.340197
1.68254,0.339884
1.71429,0.339599
1.74603,0.339343
1.77778,0.339116
1.80952,0.338917
1.84127,0.338746
1.87302,0.338604
1.90476,0.338490
1.93651,0.338405
1.96825,0.338348
2,0.338320
